Artist Name,Popularity ,Genre
Alessia Cara,81,alt z
Ariana Grande,95,pop
Bazzi,80,dance pop
Camila Cabello,85,dance pop
Demi Lovato,89,dance pop
Fifth Harmony,75,dance pop
Hailee Steinfeld,78,dance pop
Jonas Brothers,80,boy band
Julia Michaels,82,alt z
Justin Biber,100,canadian pop
Khalid,92,alternative r&b
Liam Payne,75,dance pop
Niall Horan,82,dance pop
Nick Jonas,76,dance pop
PRETTYMUCH,69,alt z
Ruel,75,alt z
Selena Gomez,89,dance pop
Shawn Mendes,89,canadian pop
The Vamps,76,boy band
Zara Larsson,82,dance pop
ZAYN,84,dance pop
