Artist Name,Popularity ,Genre
Avril Lavigne,80,canadian pop
Britney Spears,85,dance pop
Cher Lloyd,67,dance pop
Demi Lovato,89,dance pop
Fergie,74,dance pop
Fifth Harmony,75,dance pop
Glee Cast,79,glee club
Gwen Stefani,78,dance pop
Hannah Montana,69,dance pop
Hilary Duff,60,dance pop
Jessie J,76,dance pop
Jonas Brothers,80,boy band
Jordin Sparks,67,dance pop
Katy Perry,87,dance pop
Kelly Clarkson,78,dance pop
Kesha,81,dance pop
Miley Cyrus,88,dance pop
Natasha Bedingfield,70,dance pop
P!nk,86,dance pop
Selena Gomez & The Scene,71,dance pop
The Pussycat Dolls,74,dance pop
